Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Past,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog.1,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Adri Embarba,es ESP,"FW,MF",Espanyol,es La Liga,30,1992,1,0,35,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.13,0.00,0.13,0.13,0.13,Matches,2,0,0.0,5.14,0.00,0.00,,29.2,0,0.02,0.0,0.0,5,8,62.5,87,47,2,3,66.7,1,2,50.0,1,1,100.0,0.0,0,0,0,0,0,7,1,0,1,0,1,0,0,0,0,5,1,2,2,6,0,0,0,0,0,2,0,1,2.57,0,0,1,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,9.1,1,9,1,0,0,1,0,0,14,2,0,100.0,2,1,10,0,0,1,13,7,53.8,1,35,4.9,,0,1,35,0,1.00,2,1,+1,+2.57,+3.36,0.9,0.1,+0.8,+2.18,+2.56,0,1,0,0,0,4,0,2,0.0,Big-5-European-Leagues,Big5,2022-2023
Breel Embolo,ch SUI,FW,Monaco,fr Ligue 1,25,1997,10,9,769,8.5,4,2,4,0,0,1,0,0.47,0.23,0.70,0.47,0.70,3.4,3.4,1.6,5.0,0.40,0.18,0.58,0.40,0.58,Matches,18,8,44.4,2.11,0.94,0.22,0.50,11.4,0,0.19,+0.6,+0.6,130,184,70.7,2003,425,78,96,81.3,32,53,60.4,13,17,76.5,+0.4,12,8,7,0,19,175,9,2,61,5,4,0,0,0,0,131,35,18,13,139,7,1,9,3,3,10,9,24,2.81,16,0,1,3,2,5,0.59,3,0,0,0,1,1,9,9,1,5,3,2,28.6,5,41,29.1,5,52,84,0,5,14,5,0,314,10,49,53.6,16,6,233,3,29,24,401,232,57.9,88,77,85.4,82,6,1,27,0,2.00,16,12,+4,+0.47,-0.91,13.3,13.2,+0.1,+0.01,+0.01,0,17,1,1,0,35,18,26,40.9,Big-5-European-Leagues,Big5,2022-2023
Emerson,br BRA,DF,Tottenham,eng Premier League,23,1999,8,7,624,6.9,0,1,0,0,0,0,1,0.00,0.14,0.14,0.00,0.14,0.3,0.3,0.2,0.5,0.05,0.03,0.07,0.05,0.07,Matches,6,1,16.7,0.87,0.14,0.00,0.00,14.2,0,0.05,-0.3,-0.3,283,351,80.6,5008,1533,135,149,90.6,111,134,82.8,32,50,64.0,+0.8,2,16,5,1,18,288,63,0,36,9,18,1,0,0,0,229,72,50,27,250,8,58,1,1,3,10,16,9,1.30,9,0,0,0,0,2,0.29,2,0,0,0,0,0,18,12,13,5,0,7,53.8,6,32,28.6,53,38,21,0,16,28,26,0,448,41,20,77.8,7,1,266,5,9,4,291,263,90.4,16,78,77.0,84,4,1,36,0,2.13,15,7,+8,+1.15,+0.19,11.7,7.6,+4.1,+0.59,+0.83,0,8,0,0,0,42,14,11,56.0,Big-5-European-Leagues,Big5,2022-2023
Youssef En-Nesyri,ma MAR,FW,Sevilla,es La Liga,25,1997,7,2,282,3.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.0,0.8,0.25,0.00,0.26,0.25,0.26,Matches,9,5,55.6,2.87,1.60,0.00,0.00,10.2,0,0.09,-0.8,-0.8,29,48,60.4,451,68,12,17,70.6,14,21,66.7,1,6,16.7,0.0,1,1,0,0,2,41,7,0,11,1,2,0,0,0,0,19,17,12,20,5,12,2,0,0,1,2,0,2,0.64,0,1,0,0,0,1,0.32,0,0,0,1,0,0,4,3,1,2,1,0,,0,17,36.2,5,14,28,0,0,5,4,0,85,5,21,50.0,1,0,32,2,13,2,111,57,51.4,15,40,39.2,73,1,5,27,1,0.71,4,8,-4,-1.28,-0.87,4.7,8.0,-3.3,-1.04,-0.54,0,1,0,0,0,10,18,23,43.9,Big-5-European-Leagues,Big5,2022-2023
Wataru Endo,jp JPN,MF,Stuttgart,de Bundesliga,29,1993,9,9,771,8.6,1,0,1,0,0,0,0,0.12,0.00,0.12,0.12,0.12,0.8,0.8,0.4,1.2,0.10,0.05,0.14,0.10,0.14,Matches,14,4,28.6,1.63,0.47,0.07,0.25,18.1,0,0.06,+0.2,+0.2,232,309,75.1,4511,1470,83,107,77.6,114,135,84.4,31,53,58.5,-0.4,8,26,4,0,33,302,7,0,51,0,0,0,0,0,0,205,40,64,39,225,25,1,0,2,6,14,9,13,1.52,11,0,0,2,0,0,0.00,0,0,0,0,0,0,23,12,11,10,2,8,50.0,8,41,31.8,50,61,18,0,10,37,23,0,414,43,11,16.7,1,0,256,0,6,10,258,245,95.0,18,86,95.2,86,7,0,,0,0.56,8,13,-5,-0.58,-0.58,9.2,10.4,-1.3,-0.15,-0.15,0,12,0,0,0,80,28,10,73.7,Big-5-European-Leagues,Big5,2022-2023
Christian Eriksen,dk DEN,"MF,FW",Manchester Utd,eng Premier League,30,1992,8,8,702,7.8,0,2,0,0,0,1,0,0.00,0.26,0.26,0.00,0.26,1.2,1.2,1.3,2.6,0.16,0.17,0.33,0.16,0.33,Matches,16,7,43.8,2.05,0.90,0.00,0.00,18.1,2,0.08,-1.2,-1.2,330,434,76.0,6312,1742,147,163,90.2,130,155,83.9,49,100,49.0,+0.7,10,35,4,0,30,401,33,0,49,26,9,20,6,7,1,292,40,102,114,292,22,0,0,2,13,16,9,20,2.56,12,7,1,0,0,3,0.38,3,0,0,0,0,0,6,5,4,2,0,3,33.3,6,25,38.5,16,38,11,0,12,11,5,1,493,16,14,50.0,2,1,309,1,6,4,398,360,90.5,22,88,97.5,88,4,0,,0,1.88,13,15,-2,-0.26,-0.26,10.6,11.4,-0.7,-0.10,+2.25,0,3,0,0,0,59,6,6,50.0,Big-5-European-Leagues,Big5,2022-2023
Martin Erlic,hr CRO,DF,Sassuolo,it Serie A,24,1998,6,6,507,5.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,237,270,87.8,5436,1247,58,62,93.5,119,131,90.8,55,71,77.5,0.0,0,6,0,0,5,255,15,0,18,23,0,0,0,0,0,204,21,45,23,220,16,1,2,1,7,1,1,2,0.36,2,0,0,0,0,0,0.00,0,0,0,0,0,0,3,2,2,1,0,0,0.0,1,18,41.9,21,22,0,0,6,15,15,0,313,46,0,,0,0,174,0,0,1,195,193,99.0,0,85,62.6,85,4,0,,1,1.50,7,4,+3,+0.53,+1.13,10.2,5.0,+5.2,+0.91,+1.65,0,5,0,0,0,51,11,6,64.7,Big-5-European-Leagues,Big5,2022-2023
Gonzalo Escalante,ar ARG,MF,Cremonese,it Serie A,29,1993,7,6,440,4.9,0,1,0,0,0,0,1,0.00,0.20,0.20,0.00,0.20,0.2,0.2,0.1,0.3,0.04,0.03,0.07,0.04,0.07,Matches,5,1,20.0,1.02,0.20,0.00,0.00,17.5,0,0.04,-0.2,-0.2,190,243,78.2,3843,1310,63,73,86.3,96,113,85.0,29,48,60.4,+0.9,3,19,2,0,20,236,7,0,29,2,1,0,0,0,0,172,21,50,27,202,11,0,1,3,1,9,5,8,1.64,6,0,0,1,0,0,0.00,0,0,0,0,0,0,11,8,6,4,1,6,54.5,5,22,37.3,22,29,8,0,1,19,7,0,284,16,7,100.0,2,0,185,1,5,6,210,196,93.3,9,63,54.3,69,2,1,29,1,0.29,3,13,-10,-2.05,-1.56,3.2,11.3,-8.1,-1.65,-0.71,0,6,0,0,0,47,5,9,35.7,Big-5-European-Leagues,Big5,2022-2023
Sergio Escudero,es ESP,DF,Valladolid,es La Liga,33,1989,6,6,484,5.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.3,0.6,0.07,0.05,0.12,0.07,0.12,Matches,7,2,28.6,1.30,0.37,0.00,0.00,23.5,1,0.05,-0.4,-0.4,200,254,78.7,3738,1478,95,99,96.0,80,92,87.0,22,51,43.1,-0.3,5,9,7,3,12,201,53,0,19,7,11,2,0,1,1,145,44,65,170,29,5,44,0,2,5,4,8,8,1.49,7,0,0,0,0,0,0.00,0,0,0,0,0,0,16,13,11,4,1,3,23.1,10,21,25.3,39,36,8,0,8,28,12,0,321,18,4,75.0,3,0,179,1,4,6,193,173,89.6,9,81,67.2,81,4,0,,2,1.33,4,7,-3,-0.56,+0.97,5.1,9.1,-4.0,-0.74,-0.46,0,10,0,0,0,36,10,6,62.5,Big-5-European-Leagues,Big5,2022-2023
Alfonso Espino,uy URU,DF,CÃ¡diz,es La Liga,30,1992,8,8,674,7.5,0,1,0,0,0,2,0,0.00,0.13,0.13,0.00,0.13,0.1,0.1,0.4,0.4,0.01,0.05,0.06,0.01,0.06,Matches,4,0,0.0,0.53,0.00,0.00,,32.2,0,0.02,-0.1,-0.1,196,319,61.4,3404,1729,89,107,83.2,78,110,70.9,19,72,26.4,+0.6,2,15,5,4,21,254,65,0,42,9,18,0,0,0,0,139,66,114,194,39,17,58,4,3,15,17,22,10,1.34,7,1,0,0,2,1,0.13,1,0,0,0,0,0,32,19,20,8,4,17,63.0,10,26,24.5,49,37,20,0,16,47,19,0,425,29,8,55.6,5,0,198,2,9,6,210,190,90.5,17,84,93.6,84,6,0,,0,0.63,3,13,-10,-1.34,+4.53,5.0,12.3,-7.4,-0.99,+2.27,0,17,0,1,0,74,9,8,52.9,Big-5-European-Leagues,Big5,2022-2023
Bernardo Espinosa,co COL,DF,Girona,es La Liga,33,1989,5,4,318,3.5,0,1,0,0,0,1,0,0.00,0.28,0.28,0.00,0.28,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,191,211,90.5,4227,1362,42,45,93.3,118,125,94.4,31,41,75.6,+1.0,1,4,0,0,7,203,8,0,15,3,0,0,0,0,0,171,12,28,17,174,10,1,0,1,4,1,1,1,0.28,1,0,0,0,0,1,0.28,1,0,0,0,0,0,5,4,5,0,0,2,100.0,0,6,26.1,15,7,1,0,2,7,17,1,245,64,2,100.0,2,0,135,0,0,3,163,162,99.4,0,64,44.2,79,2,1,1,2,0.80,6,10,-4,-1.13,-1.36,3.6,5.9,-2.3,-0.66,-0.74,0,3,0,1,0,42,12,2,85.7,Big-5-European-Leagues,Big5,2022-2023
Maxime EstÃ¨ve,fr FRA,DF,Montpellier,fr Ligue 1,20,2002,8,4,452,5.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02,Matches,1,0,0.0,0.20,0.00,0.00,,4.2,0,0.09,-0.1,-0.1,178,210,84.8,3673,1108,64,67,95.5,82,89,92.1,30,50,60.0,0.0,0,15,0,0,12,194,16,0,29,4,1,0,0,0,0,151,14,45,144,44,14,1,2,0,2,2,2,3,0.60,3,0,0,0,0,0,0.00,0,0,0,0,0,0,9,3,8,1,0,2,66.7,1,16,37.2,25,18,0,0,9,20,39,0,281,56,3,100.0,2,1,139,0,1,1,149,148,99.3,0,57,50.2,90,4,4,23,1,1.50,8,7,+1,+0.20,+0.40,6.3,6.2,+0.2,+0.03,+0.67,0,6,0,0,0,42,8,9,47.1,Big-5-European-Leagues,Big5,2022-2023
Pervis EstupiÃ±Ã¡n,ec ECU,DF,Brighton,eng Premier League,24,1998,7,5,355,3.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,1.3,1.3,0.00,0.33,0.33,0.00,0.33,Matches,1,0,0.0,0.25,0.00,0.00,,32.8,0,0.02,0.0,0.0,168,215,78.1,2899,1241,85,96,88.5,67,85,78.8,14,25,56.0,-1.3,8,10,11,5,18,186,29,0,24,5,16,0,0,0,0,130,41,44,147,26,11,26,0,1,2,12,7,11,2.79,10,0,0,1,0,1,0.25,0,0,0,0,1,0,12,7,6,2,4,5,62.5,3,19,34.5,22,21,12,0,5,19,9,0,263,16,11,66.7,5,0,152,3,4,7,178,156,87.6,12,51,43.8,65,0,2,15,0,1.43,6,7,-1,-0.25,-1.04,6.1,5.3,+0.8,+0.20,-0.24,0,7,1,0,0,33,9,6,60.0,Big-5-European-Leagues,Big5,2022-2023
Pervis EstupiÃ±Ã¡n,ec ECU,DF,Brighton,eng Premier League,24,1998,7,5,355,3.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,1.3,1.3,0.00,0.33,0.33,0.00,0.33,Matches,1,0,0.0,0.25,0.00,0.00,,32.8,0,0.02,0.0,0.0,168,215,78.1,2899,1241,85,96,88.5,67,85,78.8,14,25,56.0,-1.3,8,10,11,5,18,186,29,0,24,5,16,0,0,0,0,130,41,44,147,26,11,26,0,1,2,12,7,11,2.79,10,0,0,1,0,1,0.25,0,0,0,0,1,0,12,7,6,2,4,5,62.5,3,19,34.5,22,21,12,0,5,19,9,0,263,16,11,66.7,5,0,152,3,4,7,178,156,87.6,12,,,,0,0,,1,,,,,,,,,,,,0,7,1,0,0,33,9,6,60.0,Big-5-European-Leagues,Big5,2022-2023
Jonny Evans,nir NIR,DF,Leicester City,eng Premier League,34,1988,9,9,810,9.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.02,0.00,0.02,0.02,0.02,Matches,1,1,100.0,0.11,0.11,0.00,0.00,2.8,0,0.17,-0.2,-0.2,575,640,89.8,12441,3902,151,164,92.1,332,353,94.1,87,114,76.3,0.0,0,35,0,0,30,626,14,0,43,10,0,0,0,0,0,509,30,101,189,403,34,0,0,2,6,5,5,2,0.22,2,0,0,0,0,0,0.00,0,0,0,0,0,0,8,4,7,1,0,3,50.0,3,13,34.2,25,12,1,0,9,24,34,0,715,101,2,0.0,0,1,481,0,1,0,531,528,99.4,1,90,100.0,90,9,0,,0,0.44,15,24,-9,-1.00,,9.5,13.1,-3.6,-0.40,,0,7,0,0,0,90,22,13,62.9,Big-5-European-Leagues,Big5,2022-2023
Edu ExpÃ³sito,es ESP,MF,Espanyol,es La Liga,26,1996,8,7,523,5.8,2,1,2,0,0,0,0,0.34,0.17,0.52,0.34,0.52,0.3,0.3,0.5,0.8,0.05,0.09,0.14,0.05,0.14,Matches,8,4,50.0,1.38,0.69,0.25,0.50,29.1,2,0.04,+1.7,+1.7,159,209,76.1,3063,806,55,70,78.6,79,90,87.8,22,41,53.7,+0.5,7,14,6,0,18,194,15,1,37,4,6,3,0,1,2,143,26,40,26,161,9,1,2,2,8,4,4,10,1.72,7,2,0,0,1,2,0.34,2,0,0,0,0,0,11,8,5,6,0,4,100.0,0,32,27.8,31,63,21,0,3,19,4,0,268,11,10,60.0,3,1,170,1,11,6,193,168,87.0,26,65,72.6,70,0,1,35,0,0.75,8,13,-5,-0.86,-0.86,5.9,9.0,-3.0,-0.52,-0.98,0,8,0,0,0,53,10,7,58.8,Big-5-European-Leagues,Big5,2022-2023
Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,eng Premier League,24,1998,8,8,641,7.1,1,2,1,0,0,0,0,0.14,0.28,0.42,0.14,0.42,1.0,1.0,1.2,2.3,0.15,0.17,0.32,0.15,0.32,Matches,13,4,30.8,1.83,0.56,0.08,0.25,25.4,3,0.08,0.0,0.0,236,298,79.2,4196,1083,113,127,89.0,88,103,85.4,30,57,52.6,+0.8,11,15,5,1,19,254,44,1,44,14,12,19,5,8,1,209,34,55,33,243,15,0,3,4,5,17,3,23,3.23,9,8,3,1,2,4,0.56,1,1,2,0,0,0,7,5,4,3,0,1,16.7,5,27,32.1,29,40,15,0,8,17,3,0,383,10,17,57.1,16,2,269,9,11,14,292,241,82.5,21,80,89.0,80,2,0,,0,1.13,10,10,0,0.00,+2.28,8.1,10.2,-2.1,-0.29,+1.12,0,3,0,0,0,56,5,12,29.4,Big-5-European-Leagues,Big5,2022-2023
NicolÃ¡s Ezequiel FernÃ¡ndez,ar ARG,"DF,MF",Elche,es La Liga,22,2000,3,1,156,1.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.07,0.07,0.00,0.07,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,52,64,81.3,891,450,26,27,96.3,20,25,80.0,4,9,44.4,-0.1,2,6,3,1,9,50,14,0,3,3,5,0,0,0,0,42,11,11,45,7,0,12,0,0,1,4,1,3,1.73,3,0,0,0,0,0,0.00,0,0,0,0,0,0,7,4,2,3,2,3,37.5,5,6,22.2,14,9,4,0,3,9,5,0,82,7,2,33.3,1,1,48,0,0,1,53,43,81.1,3,52,21.7,90,1,2,33,1,0.33,1,5,-4,-2.31,-0.55,1.3,4.7,-3.4,-1.97,-0.22,0,2,0,0,1,8,0,2,0.0,Big-5-European-Leagues,Big5,2022-2023
Abdessamad Ezzalzouli,ma MAR,"FW,MF",Osasuna,es La Liga,20,2001,5,2,201,2.2,0,1,0,0,0,1,0,0.00,0.45,0.45,0.00,0.45,0.4,0.4,0.8,1.2,0.20,0.35,0.55,0.20,0.55,Matches,6,1,16.7,2.69,0.45,0.00,0.00,16.5,1,0.07,-0.4,-0.4,50,73,68.5,678,190,27,39,69.2,20,27,74.1,0,3,0.0,+0.2,2,3,3,0,5,71,2,1,17,1,6,0,0,0,0,56,10,7,14,51,5,1,0,0,2,2,3,7,3.13,5,0,2,0,0,2,0.90,1,0,1,0,0,0,9,7,4,4,1,3,50.0,3,15,28.3,15,25,13,0,5,13,0,0,116,0,11,66.7,6,1,88,7,7,7,90,79,87.8,15,40,27.9,70,0,3,21,0,1.40,2,4,-2,-0.90,-1.42,2.8,4.7,-1.9,-0.87,-1.68,0,6,0,0,0,14,2,2,50.0,Big-5-European-Leagues,Big5,2022-2023
Åukasz FabiaÅski,pl POL,GK,West Ham,eng Premier League,37,1985,9,9,748,8.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,154,236,65.3,5143,3583,36,36,100.0,54,54,100.0,64,146,43.8,0.0,0,2,0,0,0,156,80,0,18,8,0,0,0,0,0,100,8,128,16,164,0,0,46,1,4,1,1,1,0.12,0,1,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,1,0,0,0,0,0,0,0,252,240,0,,0,0,108,0,0,0,93,93,100.0,0,83,92.3,83,8,0,,0,1.11,8,8,0,0.00,+2.90,10.4,7.1,+3.3,+0.40,+2.88,0,0,0,0,0,38,0,0,,Big-5-European-Leagues,Big5,2022-2023
Fabinho,br BRA,MF,Liverpool,eng Premier League,28,1993,8,6,562,6.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.5,0.7,0.04,0.08,0.11,0.04,0.11,Matches,4,2,50.0,0.64,0.32,0.00,0.00,14.6,0,0.06,-0.2,-0.2,371,415,89.4,7208,1386,142,151,94.0,172,189,91.0,50,63,79.4,-0.5,3,34,3,0,33,401,14,1,61,13,1,0,0,0,0,315,44,56,33,353,15,2,2,0,4,7,4,17,2.72,15,0,0,1,0,1,0.16,1,0,0,0,0,0,16,9,3,13,0,7,50.0,7,32,36.4,19,57,12,0,9,24,11,0,477,20,7,0.0,0,0,287,0,2,3,354,335,94.6,8,70,78.1,85,5,2,27,0,1.25,16,7,+9,+1.44,+2.01,11.1,7.0,+4.1,+0.66,+0.86,0,11,0,0,0,77,12,13,48.0,Big-5-European-Leagues,Big5,2022-2023
FÃ¡bio,br BRA,DF,Nantes,fr Ligue 1,32,1990,6,3,224,2.5,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.6,0.8,0.10,0.24,0.34,0.10,0.34,Matches,3,2,66.7,1.21,0.80,0.00,0.00,13.4,0,0.08,-0.2,-0.2,93,121,76.9,1588,585,47,53,88.7,35,46,76.1,9,16,56.3,-0.6,4,5,6,3,10,99,22,0,11,2,8,0,0,0,0,65,26,30,17,77,4,20,0,2,2,2,4,8,3.21,8,0,0,0,0,1,0.40,1,0,0,0,0,0,6,4,2,2,2,2,33.3,4,12,38.7,13,13,5,0,5,9,9,0,157,8,4,33.3,1,0,79,0,5,2,95,85,89.5,11,37,24.9,47,0,3,27,0,1.00,3,3,0,0.00,+1.20,3.1,3.1,0.0,-0.02,+0.81,0,2,0,0,0,19,3,4,42.9,Big-5-European-Leagues,Big5,2022-2023
Noah Fadiga,sn SEN,DF,Brest,fr Ligue 1,22,1999,4,4,223,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.00,0.03,0.03,0.03,Matches,1,0,0.0,0.40,0.00,0.00,,17.5,0,0.06,-0.1,-0.1,92,108,85.2,1480,465,51,53,96.2,38,41,92.7,3,10,30.0,0.0,0,4,1,0,8,85,23,0,4,1,2,0,0,0,0,70,22,16,4,80,3,21,0,0,4,1,4,3,1.21,1,0,1,1,0,0,0.00,0,0,0,0,0,0,5,3,1,4,0,1,25.0,3,12,32.4,17,18,2,0,4,12,4,0,139,8,5,75.0,3,0,83,2,1,6,90,80,88.9,7,56,24.8,56,0,0,,0,0.00,1,4,-3,-1.21,-0.15,1.8,3.6,-1.7,-0.70,-0.25,0,2,1,0,0,12,0,2,0.0,Big-5-European-Leagues,Big5,2022-2023
Wout Faes,be BEL,DF,Leicester City,eng Premier League,24,1998,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.06,0.03,0.09,0.06,0.09,Matches,2,0,0.0,0.67,0.00,0.00,,8.0,0,0.09,-0.2,-0.2,208,240,86.7,4626,1203,38,48,79.2,137,145,94.5,33,44,75.0,-0.1,1,10,0,0,9,236,4,1,13,5,1,0,0,0,0,197,17,26,28,195,9,0,0,0,2,5,2,2,0.67,1,0,0,0,0,0,0.00,0,0,0,0,0,0,8,5,3,5,0,4,44.4,5,10,34.5,17,11,1,0,4,17,13,0,281,44,4,,0,0,183,0,0,1,203,203,100.0,1,90,33.3,90,3,0,,0,1.00,7,8,-1,-0.33,+1.00,4.0,4.0,0.0,+0.01,+0.61,0,2,0,0,0,29,14,4,77.8,Big-5-European-Leagues,Big5,2022-2023
Wout Faes,be BEL,DF,Leicester City,eng Premier League,24,1998,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.06,0.03,0.09,0.06,0.09,Matches,2,0,0.0,0.67,0.00,0.00,,8.0,0,0.09,-0.2,-0.2,208,240,86.7,4626,1203,38,48,79.2,137,145,94.5,33,44,75.0,-0.1,1,10,0,0,9,236,4,1,13,5,1,0,0,0,0,197,17,26,28,195,9,0,0,0,2,5,2,2,0.67,1,0,0,0,0,0,0.00,0,0,0,0,0,0,8,5,3,5,0,4,44.4,5,10,34.5,17,11,1,0,4,17,13,0,281,44,4,,0,0,183,0,0,1,203,203,100.0,1,90,33.3,90,3,0,,0,1.00,7,8,-1,-0.33,+1.00,4.0,4.0,0.0,+0.01,+0.61,0,2,0,0,1,27,5,3,62.5,Big-5-European-Leagues,Big5,2022-2023
Wout Faes,be BEL,DF,Leicester City,eng Premier League,24,1998,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.06,0.03,0.09,0.06,0.09,Matches,2,0,0.0,0.67,0.00,0.00,,8.0,0,0.09,-0.2,-0.2,208,240,86.7,4626,1203,38,48,79.2,137,145,94.5,33,44,75.0,-0.1,1,10,0,0,9,236,4,1,13,5,1,0,0,0,0,197,17,26,28,195,9,0,0,0,2,5,2,2,0.67,1,0,0,0,0,0,0.00,0,0,0,0,0,0,8,5,3,5,0,4,44.4,5,10,34.5,17,11,1,0,4,17,13,0,281,44,4,,0,0,183,0,0,1,203,203,100.0,1,90,30.0,90,3,0,,0,0.67,3,6,-3,-1.00,-0.43,3.6,4.4,-0.7,-0.24,-0.12,0,2,0,0,0,29,14,4,77.8,Big-5-European-Leagues,Big5,2022-2023
Wout Faes,be BEL,DF,Leicester City,eng Premier League,24,1998,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.06,0.03,0.09,0.06,0.09,Matches,2,0,0.0,0.67,0.00,0.00,,8.0,0,0.09,-0.2,-0.2,208,240,86.7,4626,1203,38,48,79.2,137,145,94.5,33,44,75.0,-0.1,1,10,0,0,9,236,4,1,13,5,1,0,0,0,0,197,17,26,28,195,9,0,0,0,2,5,2,2,0.67,1,0,0,0,0,0,0.00,0,0,0,0,0,0,8,5,3,5,0,4,44.4,5,10,34.5,17,11,1,0,4,17,13,0,281,44,4,,0,0,183,0,0,1,203,203,100.0,1,90,30.0,90,3,0,,0,0.67,3,6,-3,-1.00,-0.43,3.6,4.4,-0.7,-0.24,-0.12,0,2,0,0,1,27,5,3,62.5,Big-5-European-Leagues,Big5,2022-2023
Wout Faes,be BEL,DF,Reims,fr Ligue 1,24,1998,3,3,270,3.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,93,114,81.6,2106,668,21,25,84.0,49,55,89.1,21,30,70.0,0.0,1,7,2,0,7,106,8,0,9,3,1,0,0,0,0,85,2,27,14,87,11,0,0,0,5,3,2,2,0.67,2,0,0,0,0,1,0.33,1,0,0,0,0,0,0,0,0,0,0,0,,0,5,27.8,13,4,1,0,3,5,23,0,148,41,1,50.0,1,0,79,0,0,1,77,77,100.0,1,90,33.3,90,3,0,,0,1.00,7,8,-1,-0.33,+1.00,4.0,4.0,0.0,+0.01,+0.61,0,2,0,0,0,29,14,4,77.8,Big-5-European-Leagues,Big5,2022-2023
